Id,Label,Type,citation_count,repo_stars,year
Method:back-projection,Method:back-projection,Method,,,
Method:coarse-to-fine optimization method for coordinate-based models,Method:coarse-to-fine optimization method for coordinate-based models,Method,,,
Method:deformable nerf models,Method:deformable nerf models,Method,,,
Method:deformable neural radiance fields,Method:deformable neural radiance fields,Method,,,
Method:differentiable volumetric rendering,Method:differentiable volumetric rendering,Method,,,
Method:direct voxel grid optimization,Method:direct voxel grid optimization,Method,,,
Method:dust3r,Method:dust3r,Method,,,
Method:elastic regularization for nerf deformation fields,Method:elastic regularization for nerf deformation fields,Method,,,
Method:fully convolutional model based on dilated temporal convolutions,Method:fully convolutional model based on dilated temporal convolutions,Method,,,
Method:nerfies,Method:nerfies,Method,,,
Method:occupancy networks,Method:occupancy networks,Method,,,
Method:openpose (cmu-pose),Method:openpose (cmu-pose),Method,,,
Method:part affinity fields (pafs),Method:part affinity fields (pafs),Method,,,
Method:pifu,Method:pifu,Method,,,
Method:pixel-aligned implicit function,Method:pixel-aligned implicit function,Method,,,
Method:plenoxels,Method:plenoxels,Method,,,
Method:superglue,Method:superglue,Method,,,
Method:vibe,Method:vibe,Method,,,
Method:videopose3d,Method:videopose3d,Method,,,
Repo:MIT-SPARK/Kimera-VIO,Repo:MIT-SPARK/Kimera-VIO,Repo,,1872,
Repo:MVIG-SJTU/AlphaPose,Repo:MVIG-SJTU/AlphaPose,Repo,,8570,
Repo:MichaelGrupp/evo,Repo:MichaelGrupp/evo,Repo,,4249,
Repo:NVIDIAGameWorks/kaolin-wisp,Repo:NVIDIAGameWorks/kaolin-wisp,Repo,,1497,
Repo:NVlabs/instant-ngp,Repo:NVlabs/instant-ngp,Repo,,17426,
Repo:NVlabs/tiny-cuda-nn,Repo:NVlabs/tiny-cuda-nn,Repo,,4496,
Repo:One-2-3-45/One-2-3-45,Repo:One-2-3-45/One-2-3-45,Repo,,1719,
Repo:RainerKuemmerle/g2o,Repo:RainerKuemmerle/g2o,Repo,,3436,
Repo:ViTAE-Transformer/ViTPose,Repo:ViTAE-Transformer/ViTPose,Repo,,2083,
Repo:ZheC/Realtime_Multi-Person_Pose_Estimation,Repo:ZheC/Realtime_Multi-Person_Pose_Estimation,Repo,,5124,
Repo:amov-lab/Prometheus,Repo:amov-lab/Prometheus,Repo,,3163,
Repo:ashawkey/stable-dreamfusion,Repo:ashawkey/stable-dreamfusion,Repo,,8838,
Repo:ashawkey/torch-ngp,Repo:ashawkey/torch-ngp,Repo,,2212,
Repo:autonomousvision/sdfstudio,Repo:autonomousvision/sdfstudio,Repo,,2111,
Repo:bmild/nerf,Repo:bmild/nerf,Repo,,10899,
Repo:cartographer-project/cartographer,Repo:cartographer-project/cartographer,Repo,,7872,
Repo:cvg/nice-slam,Repo:cvg/nice-slam,Repo,,1586,
Repo:ethz-asl/maplab,Repo:ethz-asl/maplab,Repo,,2843,
Repo:gaoxiang12/slambook,Repo:gaoxiang12/slambook,Repo,,7429,
Repo:google-research/multinerf,Repo:google-research/multinerf,Repo,,3808,
Repo:google/nerfies,Repo:google/nerfies,Repo,,1958,
Repo:hku-mars/FAST-LIVO,Repo:hku-mars/FAST-LIVO,Repo,,1601,
Repo:hku-mars/FAST-LIVO2,Repo:hku-mars/FAST-LIVO2,Repo,,4162,
Repo:junshutang/Make-It-3D,Repo:junshutang/Make-It-3D,Repo,,1887,
Repo:koide3/hdl_graph_slam,Repo:koide3/hdl_graph_slam,Repo,,2287,
Repo:kwea123/nerf_pl,Repo:kwea123/nerf_pl,Repo,,2802,
Repo:lipku/LiveTalking,Repo:lipku/LiveTalking,Repo,,7906,
Repo:mp3guy/ElasticFusion,Repo:mp3guy/ElasticFusion,Repo,,1916,
Repo:muskie82/MonoGS,Repo:muskie82/MonoGS,Repo,,2102,
Repo:nerfstudio-project/nerfacc,Repo:nerfstudio-project/nerfacc,Repo,,1457,
Repo:nerfstudio-project/nerfstudio,Repo:nerfstudio-project/nerfstudio,Repo,,11667,
Repo:nv-tlabs/vipe,Repo:nv-tlabs/vipe,Repo,,1971,
Repo:open-mmlab/mmpose,Repo:open-mmlab/mmpose,Repo,,7655,
Repo:openMVG/openMVG,Repo:openMVG/openMVG,Repo,,6427,
Repo:rmurai0610/MASt3R-SLAM,Repo:rmurai0610/MASt3R-SLAM,Repo,,3054,
Repo:snavely/bundler_sfm,Repo:snavely/bundler_sfm,Repo,,1576,
Repo:spla-tam/SplaTAM,Repo:spla-tam/SplaTAM,Repo,,2136,
Repo:thu-ml/prolificdreamer,Repo:thu-ml/prolificdreamer,Repo,,1565,
Repo:una-dinosauria/3d-pose-baseline,Repo:una-dinosauria/3d-pose-baseline,Repo,,1458,
Repo:yerfor/GeneFace,Repo:yerfor/GeneFace,Repo,,2663,
Repo:yerfor/GeneFacePlusPlus,Repo:yerfor/GeneFacePlusPlus,Repo,,1811,
